ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
64.165.202.fca,2004-01-05,00:00:02,500.0,1222673.0,0000950136-03-000631,-index.htm,200.0,1895.0,1.0,1.0,0.0,0.0,0.0,win
64.165.202.fca,2004-01-05,00:00:02,500.0,1216018.0,0000950131-03-003268,dex232.txt,200.0,818.0,0.0,1.0,0.0,0.0,0.0,win
203.185.215.gha,2004-01-05,00:00:04,500.0,1113169.0,0000950133-03-000699,w83905exv3ii.txt,200.0,44708.0,0.0,0.0,0.0,9.0,0.0,win
207.168.174.jdd,2004-01-05,00:00:05,500.0,1234623.0,0001179110-03-007706,-index.htm,200.0,2475.0,1.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:05,500.0,1234623.0,0001179110-03-007706,edgar.xml,200.0,2860.0,0.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:06,500.0,1234615.0,0001179110-03-007700,-index.htm,200.0,2475.0,1.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:06,500.0,1234617.0,0001179110-03-007701,edgar.xml,200.0,2835.0,0.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:06,500.0,1234617.0,0001179110-03-007701,-index.htm,200.0,2481.0,1.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:06,500.0,1234615.0,0001179110-03-007700,edgar.xml,200.0,4101.0,0.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:07,500.0,1234561.0,0001234561-03-000002,-index.htm,200.0,2611.0,1.0,1.0,1.0,0.0,0.0,
207.168.174.jdd,2004-01-05,00:00:07,500.0,1234561.0,0001234561-03-000002,edgardoc.xml,200.0,7983.0,0.0,1.0,1.0,0.0,0.0,
24.58.13.idd,2004-01-05,00:00:07,500.0,893739.0,0000950172-03-003653,.txt,200.0,7633.0,0.0,0.0,0.0,1.0,0.0,win
64.165.202.fca,2004-01-05,00:00:07,500.0,882590.0,0001193125-03-009340,-index.htm,200.0,4283.0,1.0,1.0,0.0,0.0,0.0,win
68.217.84.bij,2004-01-05,00:00:07,500.0,798354.0,0000950131-03-001032,ddef14a.htm,200.0,230361.0,0.0,0.0,0.0,9.0,0.0,win
